time,car,coolant_temp,intake_air_temp,intake_air_flow_speed,battery_percentage,battery_voltage,current_draw,speed,engine_vibration_amplitude,throttle_pos,tire_pressure_1_1,tire_pressure_1_2,tire_pressure_2_1,tire_pressure_2_2,accelerometer_1_1_value,accelerometer_1_2_value,accelerometer_2_1_value,accelerometer_2_2_value,control_unit_firmware
1641801176,car1,486.19397,26.80679,98.237785,59.883568,4970.6855,4520.479,27.104977,2710.4976,0.9588082,32,32,32,34,0.51294655,0.38831466,0.6516397,0.44071501,2000
1641801176,car2,96.01123,30.046524,127.3823,75.091644,6187.3315,576.2181,26.232061,2623.206,0.09714818,34,34,34,33,0.6758385,0.7707971,0.4217922,7.06017E-4,2000
1641801176,car3,549.22253,15.522568,126.07614,71.948105,5935.8486,5242.3706,32.39396,3239.396,0.9229772,32,32,30,31,0.7594221,0.41160697,0.9663337,0.8425559,2000
1641801176,car4,186.14046,18.306787,52.72076,75.258606,6200.6885,1500.1185,12.506849,1250.6849,0.25234604,30,33,34,30,0.23024482,0.40780377,0.7114196,0.22689319,2000
1641801176,car5,230.6044,23.0429,132.64973,67.08295,5546.6357,2054.5417,29.550343,2955.0342,0.38833553,34,31,34,33,0.7396768,0.2830212,0.8111912,0.6596176,2000
1641801176,car6,76.107376,36.002975,135.5103,55.491447,4619.316,218.38847,27.491346,2749.1345,0.050051033,30,33,32,30,0.9250704,0.07027918,0.4876811,3.10617,2000
1641801176,car7,247.95517,15.917689,34.421753,88.69054,7275.243,2231.7349,9.357265,935.72656,0.31794524,30,33,31,31,0.8656085,0.28125465,0.5944801,0.11045343,2000
1641801176,car8,471.63977,34.20344,8.406949,88.86578,7289.2627,4290.3623,6.425927,642.5927,0.61001027,34,30,33,32,0.84584045,0.8133894,0.057141602,0.4715534,2000
1641801176,car9,566.6512,31.69471,70.56395,98.73785,8079.028,5220.6577,19.303265,1930.3264,0.6673449,34,33,32,33,0.15514225,0.21776855,0.22294664,0.2602414,2000
1641801176,car10,554.4574,22.424482,23.56677,77.13437,6350.7495,5242.414,11.403448,1140.3448,0.86015254,30,31,33,31,0.22032475,0.64085627,0.22003067,0.12412834,1000
1641801186,car1,498.27533,26.80679,98.237785,59.856464,4970.6855,4714.6855,29.46178,2946.178,1.0,31,34,31,34,0.12773383,0.7620764,0.26521164,0.83714914,2000
1641801186,car2,181.54861,30.046524,127.3823,75.065414,6187.3315,1515.0211,22.972307,2297.2307,0.25542682,34,30,33,30,0.87710565,0.048435986,0.6987393,0.39590693,2000
1641801186,car3,343.24298,15.522568,126.07614,71.91571,5935.8486,3277.204,30.402863,3040.2861,0.5769879,31,30,33,30,0.9317908,0.8274,0.4728514,0.25708413,2000
1641801186,car4,26.306786,18.306787,52.72076,75.2461,6200.6885,80.0,10.00548,1000.548,0.0,34,33,32,30,0.5611864,0.9603968,0.0702582,0.12941521,2000
1641801186,car5,197.57483,23.0429,132.64973,67.0534,5546.6357,1745.3193,26.20608,2620.608,0.3298884,34,32,32,32,0.33052522,0.06712395,0.769375,0.64568096,2000
